Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
King Furniture,King Furniture,Furniture,Franchise,Rp. 100jt,Ruko Mutiara Gading R5 No.23 Lt.2 Bekasi Timur,021-82603940,,,,
Victory Crepes & Martabak Mini,Victory Crepes & Maratabak Mini,Makanan,Franchise,6jt,Jl. Puri Nirmala 3 Blok Bj No.6 Cibinong Bogor,021-87923384,,,,
Aixin Mandarin,Aixin Mandarin,Pendidikan,Franchise,30-90jt,Jl.Janur Elok 10 Blok Q6-9 No.21 Kelapa Gading Bekasi,021-4528728,,,,
Es Celebriti,CV Celebriti Cemerlang Utama,Minuman,Kemitraan,7-9jt,Jl. Arif Rahman Hakim No.49 Depan UPB Surabaya,031-5927412,,,,
Bobby Steak,PT Sushantco Indonesia,F&B,Franchise,207-347jt,Jl. Tanjung Duren Utara No.464 Grogol Petamburan – Jakarta,021-5670081,,,,
De-Excellence,De-Excellence,Bimbel,BO,400jt,Jl.Sangkuriang No.79 Cimahi,022-6626911,,,,
Corner Kebab,CV Universal Info Excomindo,F&B,Franchise,15-20jt,Komp. Ruko Ogie Plaza Blok A/02 Jl. Siliwangi No.8 Pondok Benda Pamulang Tangerang Banten,021-7493969/91309309,,,,
Star Bandrek,PT Liza Herbal International,F&B,Agen,n/a,Jl. Arzimar 3 No.43 Bogor,0251-8350056,,,,
Toper Crepes,Mathena Group,Makanan,BO,"8,5-13,5jt",Jl. H. Juanda No.93 Cikampek Karawang 41374,0264-315521,,,,
Chean N Clean,PT Cheap N Clean,Retail Perawatan Otomotif,Franchise,270-340jt,Jl.Raya Lontar 17 Surabaya Barat,031-7440652,,,,
AA Catering,PT Anugrah Agung Citra Tama,,,,Jl. Pramuka no.20 - Padang,0751-445566,,Jasa Boga,Franchise,Rp. 350jt - 750jt
Star Pizza,CV San Food Indonesia,F&B,BO,5-25jt,Jl. Candi Tembaga Selatan No.9 Perum Pasadena Semarang,024-7606272,,,,
Malibu 62 Studio,CV Malibu 62 Studio,Foto Studio,Franchise,190jt,Jl.Raya Barat Boulevard Blok LC-7 No.62 Kelapa Gading Jakarta,021-4514723,,,,
Curug Gentong,Curug Gentong,Kerajinan,Franchise,Rp. 15jt,Komp.Samudra Indonesia Blok A5 No.1 Jl. Tole Iskandar Depok,021-77824251,,,,
Doremi Pizza,CV Nusaboga Indonesia,Makanan,Franchise,20-80jt,Jl. Nusantara IV BD 23 Wisma Tropoda Waru - Sidoarjo,031-77293070,,,,
Murah Motor,Murah Motor,Toko & Bengkel Sepeda,BO,60jt,Jl.Raya Ungaran Gunungpat KM 2 Kab. Semarang,024-70787334,,,,
Bimba AIUEO,YPAI,Pendidikan,Franchise,n/a,Jl.Berdikari No.27 Rawabelong Jakarta,021-5480960,,,,
Multichip,PT Data Lima,Pulsa,BO,50rb-5jt,Jl.ITC Kuningan Lt.3 Blok B3 No.5-7 Jl. Prof. Dr Satrio Jakarta,021-57974444,,,,
Cendol Desa,Cendol Desa,Minuman,BO,"3,9-5,9jt",Komp. Bulog Jl. Yanatera 14 No.28 Jatiwarna Pondok Gede Bekasi,021-93846527,,,,
Amadeus Motor Sport,Amadeus Motor Sport,Mobil Modifikasi,BO,300jt,Jl.Raya Tubagus Angke No.9 Jelambar Jakarta,021-50501000,,,,
Nasabel Water Filter,PT Lahtazan Indonesia,Refill Air Minum,Franchise,75-108jt,Jl.Raya Sukahati Komplek Ruko Pasar Sukaraden Blok R No. 1-2 Jakarta,021-87927398,,,,
Mia Laundry,CV Mia Rasyondo Utama,Laundry,BO,70jt,Jl.Bintara Gerbang PT IKPP Km 4 Perawang Riau,0761-7672342,,,,
Nata Tours,PT Nata Bersama Tour & Travel,Travel,Franchise,Rp. 150jt,Jl.Otista Raya No.82 Jakarta,021-8584727,,,,
Laundry Indonesia Com,Laundry Indonesia Com,Jasa Laundry,Franchise,90jt,Jl.Radar Auri No.48 Ruko Mahetan Cimanggis Depok,021-98281810,,,,
Andre Valentino;,PT. Cipta Sumber Sejahtera;,Fashion Ritel;,Franchise;,n/a;,Jl. KH Agus Salim No.67 Jakarta;,021 - 3908386,,,,
IKI OKE,PT Makanan Sehat Nusantara,Seafood Siap Saji,BO,"7,5jt",Gd. Menara Hijau Lt.5 Jl. MT. Haryono Kav 33 Jakarta,021-79186272,,,,
Bakso Kepala Sapi,PT MM Food and BV,F&B,Franchise,n/a,Mananggal V/4 - Surabaya,031-8283474,,,,
Chinatoast Kopi Tiam,Chinatoast Kopi Tiam,F&B,BO,90jt,Internasional Ferry Terminal Batam Center B2 No.12,0778-9131888,,,,
Raja Lele,PT Raja Waralaba,F&B,Franchise,50-125jt,Komp. Perkantoran Ruko Bumi Satria Kencana Blok B No.4 Jl. Raya Kalimalang Bekasi,021-88952042,,,,
Jari Hitung Cepat Indonesia,Lembaga Bintang Indonesia,Pendidikan,Franchise,10jt,Jl.Raya Bogor Km 40 983 Cibinong - Bogor,021-87916762/32914197,,,,
HandC Komputer,HandC Komputer,IT & Komunikasi,BO,75-250jt,Griya Mrisi Indah B11 RT012 Tirtonimolo kasihan Bantil Jogyakarta,0274-6463777,,,,
Bakso Cak’Di,Perorangan,F&B,BO,7.5jt,Jl. Medokan Ayu 1/H.10 Surabaya,0815-53010055,,,,
Susu Oke,UD Suka Cita,Milk Station,BO,Rp. 200jt,Jl.Baru Teluk Betung No.19 Bekasi Barat,021-88962687,,,,
Jawara Kebab,Jawara Kebab,F&B,BO,10-18jt,Jl. Nyinden Intan Timur Gg.19 Blok A1 No.3 Surabaya,031-71508555,,,,
Taruna Nusantara Motor,Dian Automach,Auto,Franchise,50-250jt,Jl.Raya Larangan Barat Brebes,0281-621505,,,,
ILP,PT Intisari Langkah Positif,Pendidikan,Franchise,"700jt-1,2M",Jl.Raya Pasar Minggu No.39ª Jakarta Selatan,021-79192906/021-7905210,,,,
X4 Print,X4 Print,Printing,Franchise,n/a,Rukan Permata Ancol Blok B No.8-9 Jakarta,021-6414502,,,,
LBB Youcan,Media Nusantara,Pendidikan & Pelatihan,BO,10jt,Jl.Kejawaan Gebang IX/5 Surabaya,031-5312917,,,,
Asia Food,Asia Food Corp.,Makanan,Franchise,4-8jt,Jl;Karya Utama no.78 Srengseng - Jakarta,021-95140970,,,,
Warung Apung Rahman,Warung Apung Rahman,F&B,BO,500jt,Jl. Dr. Wahidin Sudiro Husodo 105 Kebomas Gresik,031-7407770,,,,
Edutimes,PT Forlearn & Edumedia,Pendidikan,Lisensi,n/a,Jl.Komp. Aries Niaga Blok A1-1K Jl. Taman Aries Meruya Utara Jakarta,021-5858863,,,,
Saqinah,Saqinah,Ritel Fashion,BO,Rp. 200jt,Jl.Duren Tiga Raya No.16 Jakarta,021-79176862,,,,
Warna Warni Children Center,Warna Warni Children Center,Pendidikan,BO,50jt,Jl.Colombo 8 Yogyakarta,0274-551214,,,,
E.nopi Math & English,PT Daekyo Indonesia,Bimbel,Franchise,400-500jt,Menara Global Jl. Gatot Subroto Kav.27 Jakarta,021-52920911,,,,
Maxx By Rudy Hadisuwarno,Maxx by Rudy Hadisuwarno,Kecantikan (salon),Franchise,165jt,Sudirman Park B21-23 KH Mas Mansyur Kav 35 - Jakarta,021-579443705,,,,
Spahelm,CV Yeskarya Indonesia,Otomotif,BO,"21,5jt",Jl.Bougenville Raya No.55 Perum Bumi Raya Tembaga Bekasi,021-37351700,,,,
Restaurant khas Sunda & Hidangan Laut Mang kabayan,PT Sumber Pangan Lestari,F&B,Franchise,"1,5M",Jl. Alternatif Km1 Cibubur - Depok,021-84599424,,,,
Eltaft Butik Sepatu Wanita,Eltaft Sukses Permata,Fashion Shoes,Franchise,Rp. 68jt,Graha Eltaft Lt.1-4 Komplek Ruko Bekasi Mas Blok B No.30 Jl.Jend A Yani Bekasi 17141,021-88856484,,,,
Dawet Ponorogo,Dawet Ponorogo,Minuman,BO,"4,5-5,5jt",Jl. Yahatera 14/26 Perum Bulog Pondok Gede Bekasi,021-93846527,,,,
Pulsa Machine,Pulsa Machine,Telekomunikasi,BO,Rp. 50-100jt,Jl.Bambu Apus Raya No.52 Cipayung Jakarta Timur,021-7088888/70992992,,,,
3D Baby Print,PT Tata Cipta Mega Pelangi,Baby Merchandise,BO,38jt,n/a,021-47882918,,,,
Terminal Baso,Miehezoo,Resto Mie & Bakso,BO,80-100jt,Jl. Raya Barat 607-609 Cimahi,022-6632161,,,,
Fokus Production Group,CV Fokus Production Group,"EO, Adv. Art & Design Merchandise",Franchise,n/a,Jl.Karang Menjangan III No.22 Surabaya,031-71111660,,,,
CSC Washer,Lion Fortuna,Salon Motor & Helm,Franchise,50-75jt,Ruko Arjuna Square No.7 Jl. Arjuna Utara samping Univ Esa Unggul Pinggir tol Tomang Kebon Jeruk Jakarta,021-95421542,,,,
Sabana Fried Chicken,n/a,F&B,BO,"13,75-15jt",Jl. Bromo Blok 6 No.4 Komp Raflesia Jatimakmur Pondok Gede,021-84900735,,,,
Medimart Apotek,PT Medimart Indonesia,Apotek,BO,700jt,Jl.Raya Kodam Bintaro Permai No.9R Pondok Betung Jakarta,021-73884908,,,,
Ayam Goreng Pondok Parayangan,Ayam Goreng Pondok Parayangan,F&B,BO,n/a,Jl. Boulevard Barat Kepala Gading Blok LC7 no.63 Summarecon Kalapa Gading - Jakarta,021-4529449,,,,
Mesin Laundry Com,CV Mandiri Lintas Cakrawala,Mesin Laundry,BO,39jt,Jl.Damai II No.3 Mampang Pancoran Mas Depok,021-77200069,,,,
Paparon’s Pizza,PT Entertainment International Tbk,F&B,Franchise,n/a,Pondok Pinang Center Blok C46-48 Jl. Ciputat Raya Jakarta 12310,021-75915031,,,,
Ayam Goreng Bakar Chichi,Ayam Goreng Bakar Chichi,Makanan,BO,125jt,Jl Duku 1 BC.38 Pondok Chandra Sidoarjo - Surabaya,031-8670276,,,,
Liang Teh,PD The Krisan,minuman,Franchise,100jt,JL. GM Situt No.58 Singkawang Kalimantan Barat,0562-631497,,,,
Salon Helm,Salon Helm,Cuci Helm,Franchise,50jt,Malang Town Square Jl. Veteran Malang,021-70683124,,,,
Maxx By Rudy Hadisuwarno,Maxx by Rudy Hadisuwarno,Kecantikan (salon),Franchise,165jt,Sudirman Park B21-23 KH Mas Mansyur Kav 35 - Jakarta,021-579443705,,,,
Kebab Aliev,Kebab Aliev & Burger,F&B,BO,15jt,Jl. Ikan Sepat Gg.4 No.2 Surabaya,031-3535384,,,,
Soto Suroboyoan Haji Wasdi,Soto Suroboyoan Hasji Wasdi,F&B,Franchise,4jt,Jl. Lodan I No.6 Rawamangun Jakarta,021-4894661,,,,
Apple Tree Preschool,Apple Tree Preschool,Pendidikan,Franchise,2M,Jl. Muara Karang Blok I1 Selatan No.26-28 Jakarta,021-6617674,,,,
O’Com,PT Comindo Boga Jaya,F&B,BO,n/a,Jl. RC Veteran No.9D Bintaro Tanah Kusir Jakarta,021-7379452,,,,
Moz5 Salon Muslimah,Moz5 Salon Muslimah,Salon,BO,n/a,JL. Margonda Raya No.488 Depok,021-7872360,,,,
Martabak Alim,Martabak Alim,F&B,Franchise,125jt,Villa Nusa Indah Blok T6 No.1 Bekasi,021-82400147,,,,
Robota Robotics School,PT Robota Indonesia,Pendidikan,Franchise,171jt,Ruko BHS Jl. DR Rajiman 289/4 Surakarta,0271-74178,,,,
Interaktif Komputer,Interaktif Komputer,Pendidikan,BO,85jt,Jl.Bromo 18 Malang,0341-323751,,,,
Madeline Beauty Center,Madeline Solution,Klinik Kecantikan,BO,N/A,Jl.Gunawarman 19 Kebayoran Baru,021-72788002,,,,
Pempek Top & Es Oyon,CV Oyen 88,Pempek,Franchise,5-10jt,Blok Gudang No.10 Jatibarang - Indramayu,0234-351994,,,,
CV Kubus,CV Agni Biru,Internet & Games Online,Franchise,Rp. 250jt,Jl.Setiabudi No.206C Bandung,022-2041190,,,,
Tahu Kremez,CV Angling Dharma Indonesia,Tahu,BO,"3,5jt",Ds. Bekel RT04/01 Kec. Pera Jombang,0321-6218233,,,,
Tumble Tots,PT Montesorri Mazmur Indonesia,Pendidikan Pra Sekolah,Franchise,n/a,Jl.Mangga Besar Raya No.5F Jakarta,021-6253036,,,,
Warnet Gue,Warnet Gue Group,Internet & Games Online,Franchise,50-90jt,Komp. Batam Indah No.E27 Pademangan Serpong,021-7565134,,,,
Soto Abas,Soto Abas Indonesia,F&B,Franchise,50jt,JL. Rajawali No.123 Perumahan Rewin Sidoarjo,021-71015661,,,,
Coffee Break,Coffee Break Indonesia,F&B Cafe Coffee Shop,Franchise,30-75jt,Jl. Terusan Candi Kalasan Blimbing Malang Jawa Timur,0341-7700020/2108808,,,,
Inpra Perkasa,Inpra Perkasa,Jasa Expedisi,BO,400jt,Graha Candimas Jl. Kalasan 3F.15 Candi Sidoarjo,031-47869376,,,,
Frankfurter Hotdog,PT Konsep Citra Rasa Nusantara,F&B,BO,"2,5 Milyar",Taman Duta Mas Blok B8 No.5 Jelambar - Jakarta,021-5675255,,,,
Medimart Apotek,PT Medimart Indonesia,Apotek,BO,700jt,Jl.Raya Kodam Bintaro Permai No.9R Pondok Betung Jakarta,021-73884908,,,,
Klenger Burger,PT Kinarya Anak Bangsa,F&B,Franchise,100-200jt,Jl. RC Veteran No.21 Rempoa Bintaro Jakarta Selatan,021-7373589,,,,
Bakmi-Mie Kita,PT System Waralaba Bakmie Mie Kita,F&B,Franchise,Rp.77jt-215jt,Jl. Teratai 12 Blok D.20 No.2ª Perum Taman Cibodas - tangerang,021-98213194,,,,
Speed Laundry,PT Lavatrisi Mandiri,Laundry,Perorangan,23-50jt,JL Rajawali Raya Kemayoran Jakarta,021-64715246,,,,
Martabak Tela,Homy Group,F&B,Franchise,n/a,Jl. Bugisan 36 Jogyakarta,0274-7499911,,,,
MER Furniture Center,PT Garant Mobel Indonesia,Franchise Furniture,Franchise,Rp. 500jt,Jl.Roda Pembangunan No.28 Kadang Roda Naggewer Cibinong Bogor,0251-8652211,,,,
Iiuvitz Collection,IIuvitz Collection,Fashion & Craft,Kemitraan,Rp. 20jt,Jl.Palatehan Kidul No.18 RT 022/05 Kel.Patehan Kec.Kraton Yogyakarta 55133,0274-379072,,,,
Tiramizzu,Tiramizzu,F&B,BO,2jt,Jl. Keputih Permai Blok 3B No.4 Sukolilo Surabaya,0838-98285781,,,,
Super Laundry,Super Laundry,Laundry & Dry Clean,Jasa,n/a,Jl. Tebah 2 No.31-33 Mayestik,021-7222535,,,,
Laboratorium Klinik Primadia,CV Mitra Sehat,Kesehatan,Franchise,382.5jt,Jl. Otista Raya No.8 Jakarta,021-85911548,,,,
LBB Youcan,Media Nusantara,Pendidikan & Pelatihan,BO,10jt,Jl.Kejawaan Gebang IX/5 Surabaya,031-5312917,,,,
Vedics Maths Indonesia,De-excellence,PEndidikan,BO,n/a,Jl.Sangkuriang No.79 Bandung,022-6626911,,,,
Martha Tilaar Salon Day Spa,PT Cantika Puspa Pesona,Salon & Spa,Franchise,"1,5 Milyar",Jl.Pulokambing II No.1 Kawasan Industri Pulogadung - Jakarta,"021-4603717 ext 816,817,819",,,,
Ulir Kriuk Kentang Crispy Spiral,Ulir Kriuk Kentang Crispy Spiral,Makanan,Franchise,10jt,Serdan Asri 3 Blok R15 No.30 Citra Raya Tangerang,021-70506226,,,,
Kedai Pizza,Kedai Pizza,F&B,Franchise,30jt,Perum Tidar Sari Blok Cempaka No.3 Japunan Mertoyudan Magelang,0293-5557006,,,,
Bakso Raden,PT Buma Siswa Boga,F&B,BO,n/a,Jl. Lumbu Utara Raya No.170 Rawalumbu – Bekasi,021-8212577,,,,
Tofuku Tahu Krispi,CV Tofuku Mitra Indonesia,Makanan,BO,"5,5jt",Jl. Wonorejo Indah Timur Gg.7 No.1A Surabaya,031-8792341/72605605,,,,
Double Dipps,PT Sinar Harapan Abadi,F&B,BO,80-275jt,Business Park Kebon Jeruk Blok F1 No.6-7 Jl. Meruya Ilir No.88 Jakarta Barat,021-30067875-76,,,,
Jamur Crispy,CV HWK Media Utama,F&B,BO,5-7 jt,Kadin Bandung Bisnis Center Jl. Telaga Bodas 31 Bandung,022-91930550,,,,
Gembinet,Gembinet,Internet Game Center,BO,30-350jt,Rukan Tanjung Mas Raya B1 No.39 Tanjung Barat Jakarta Selatan,021-78834405,,,,
Corner Kebab,CV Universal Info Excomindo,F&B,Franchise,15-20jt,Komp. Ruko Ogie Plaza Blok A/02 Jl. Siliwangi No.8 Pondok Benda Pamulang Tangerang Banten,021-7493969/91309309,,,,
LPIA,LPIA Group,Pendidikan,Franchise,355jt,Jl.Graha LPIA Perkantoran Mall Klender Blok B3 No.16-18 Jl. I Gusti Ngurah Rai Klender Jakarta Timur,021-8604218/021-8608154,,,,
Rudy Hadisuwarno Salon,PT Rudy Hadisuarno,Kecantikan (salon),Franchise,400jt,Sudirman Park B21-23 KH Mas Mansyur Kav.35 Jakarta,021-57943705,,,,
Ummi Klinlaundry & Dry Clean,CV Ummi Bizz Center,Laundry,BO,15jt,Jl. Pondok Kelapa 12 Blok F5 No.21 RT07/11 Jakarta,021-93710483,,,,
Future Kids,PT BSW Gramedia,Pendidikan,Franchise,150-200jt,Jl.Palmerah Barat 33-37 Jakarta,021-71505656,,,,
Net Ezy,PT Net Ezy Internasional,Internet Café & Game Station,Franchise,300jt,Komp. Gajah Mada Mediterania Blok D16 Lt.3 Jl. Gajah Mada 17Y Jakarta,021-6336880,,,,
Jamur Crunchy,Jamur Crunchy,F&B,BO,n/a,Keputih Tegal Timur No.42-44 Sukolilo Surabaya,031-71506482/0856-3285660,,,,
Super Tela,Genta Group,F&B,Franchise,"4-4,3jt",JL. Empat No.38 RT35 Kelurahan Gunung Samarinda Balikpapan,0542-5617789,,,,
Double Dipps,PT Sinar Harapan Abadi,F&B,BO,80-275jt,Business Park Kebon Jeruk Blok F1 No.6-7 Jl. Meruya Ilir No.88 Jakarta Barat,021-30067875-76,,,,
Cuppa Coffee,Cuppa Coffee,Kedai Kopi,Franchise,n/a,Ruko Kebon Jeruk Mediterania Lt.2 Jl. Meruya Ilir No.10 Kembangan Srengseng - Jakarta,021-58902665,,,,
Inpra Perkasa,Inpra Perkasa,Jasa Expedisi,BO,400jt,Graha Candimas Jl. Kalasan 3F.15 Candi Sidoarjo,031-47869376,,,,
TX Travel,PT Jakarta Express Utama,Travel,Franchise,Rp. 400jt,Komp. Ruko Atap Merah Blok D No.10-11 Jl. Pecenongan No.72 Jakarta,021-3809999,,,,
Dressed Laundry,PT Pro Teknologi,Laundry & Cleaning Service,Franchise,please call,"Jl. Senayan Bintaro Blok HJ3 No.2, Sektor IX, Bintaro Jaya, Tangerang - Jakarta",081283066111; 021-91371181 (cp. Dedi Setiadi),,,,
Susu Oke,UD Suka Cita,Milk Station,BO,Rp. 200jt,Jl.Baru Teluk Betung No.19 Bekasi Barat,021-88962687,,,,
Q’BIQ Dunuts & Coffee,n/a,F&B,Franchise,60-350jt,Kokan Permata Blok A No.5 Jakarta,021-4517781-86,,,,
Bakso Franchise Putra Solo,bakso Franchise Dutra Solo,F&B,Franchise,20-80jt,Jl. Ahmad yani Utara No.6 Denpasar,0361-8442482,,,,
TaboeBoe Tahu Bulat Bumbu,CV Sakura Kreasi Mandiri,Perdagangan Umum,BO,2-5jt,Pl. Paledang No.77A Bandung,022-91686130/022-91313745,,,,
Teh 16 (Rasa Buah),CV Sukses Group,Minuman,BO,"2,9-6jt",Jl. AR Hakim –Mulya No.1 MEdan,061-7364324,,,,
Chinatoast Kopi Tiam,Chinatoast Kopi Tiam,F&B,BO,90jt,Internasional Ferry Terminal Batam Center B2 No.12,0778-9131888,,,,
Twisterchips,PT Tata Cipta Mega Pelangi,F&B,Franchise,"28.8-48,8jt",Jl. Pangeran Jayakarta No.85A,021-71398831,,,,
Healthy Helm,Healthy Helm,Laundry,BO,n/a,Jl.Fatmawati Raya Ruko Fatmawati Mas No.112 Jakarta,021-99995808,,,,
Campina Scoop Counter,PT Campina Ice Cream Industry,Ice Cream,BO,n/a,Jl. Raya Duri Kosambi No.12 Cengkareng Jakarta,021-5414141,,,,
Pisa Cafe & Resto,PT Boga Raharjo Adipratama,Cafe & Resto,Franchise,"1,2-1,9M",Jl. Pemuda No.70 Rawamangun Jakarta,021-47864940,,,,
My Way Steak,My Way Steak,F&B,BO,25jt,Jl. Pemuda No.17 Jakarta,021-47864428,,,,
Gujahe,Indonesia Export Produk,Distribution,Kemitraan,n/a,Komplek PD Safari Indah JL. Soka Blok D22 No.8 Pd. Aren Tangerang,021-23986886,,,,
Raja Motor,PT Raja Motor,Bengkel Accessoris Motor,Franchise,105jt,Cibubur Point Automotive Center Jl. Alternatif Cibubur KM1 Ruko B3A Depok,021-8451728,,,,
Bakso Malang Kota Cak Eko,Bakso Malang Kota Cak Eko,F&B,Franchise,60-120jt,n/a,021-93846527/021-84307897,,,,
Pringsewu Restaurant,PT Pringse Cemerlang,restaurant,Kemitraan/BO,"300jt-2,5M",Jl. DI Panjaitan No.116 Purwokerto,0281-638231,,,,
Bazz Burger & Ocha Bento,PT Kopi Enak Indonesia,Makanan Fastfood & Coffee,BO,"3,5-45jt",Villa Citra Bantarjati F1/16 - Bogor,0251-8910911,,,,
DAG Photo Studio,DAG Photo Studio,Gerai Photo Studio,Franchise,25-50jt,Jl.Kota Bambu Selatan 2 No.59 Jakarta,021-6348634,,,,
Twisterchips,PT Tata Cipta Mega Pelangi,F&B,Franchise,"28.8-48,8jt",Jl. Pangeran Jayakarta No.85A,021-71398831,,,,
Beef Rush,PT Konsep Citra Rasa Nusantara,F&B,BO,3 Milyar,Taman Duta Mas Blok B8 No.5 Jelambar - Jakarta,021-5675255,,,,
Tumble Tots,PT Montesorri Mazmur Indonesia,Pendidikan Pra Sekolah,Franchise,n/a,Jl.Mangga Besar Raya No.5F Jakarta,021-6253036,,,,
Nakamura The Healing Touch,Nakamura,Terapi Tradisional Jepang,BO,370jt,Jl.Jageran No.106 Ketelan Solo,0271-630252,,,,
Ayam Bakar Warung Apung,CV Rahmawati Group,Makanan,BO,2-4 Milyar,Dr. Wahidin 8 Kav 3 Keplomas Gresik,031-3986889,,,,
IKKI Crispy (Fried Chicken),IKKI Group,F&B,BO,"12,5-35jt",Taman Bougenville Estate Jl. Bouhinia III Blok F1/3 Caman Bekasi,021-8645865,,,,
Extra Qilo Laundry,CV Mamabros Servicindo,Laundry,Franchise,35-45jt,Komp. Pertokoan Taman Buana Indah Blok B13 No.6 Batam,0778-426244,,,,
Body Protector,Body Protector,Produsen Jaket Motor,Kemitraan,n/a,Jl.Anggrek Garuda Blok D1 No.19 Kemanggisan Jakarta,021-70920005,,,,
Soccer Ice Cream,PT Raja Asia Iboga,F&B,Lisensi,75-90jt,Gedung Talavera Lt.28 JL. TB Simatupang No.22-26 Jakarta 12430,021-75999927,,,,
Indo Properti Real Estate,PT Indo Property Investama,Agen Property,Franchise,Rp. 500jt – Rp. 1 M,Ruko Mega Mall Pluit No. 44 Jl. Pluit Indah Raya - Jakarta,021-6683561,,,,
Paramudaku,CV Paramuda Agro Nusantara,Jasa,BO,16-55jt,Jl.Keputih Permai 1 No.3 Sukolilo Surabaya,031-5923306,,,,
Mr Kinclong,CV Karunia Sang Pencipta,Laundry,BO,35jt,Solo,0271-5862002,,,,
Pop Licks,CV Superpop Suryadarma,Ice Cream,BO,18-60jt,Komplek Green Garden Blok D1/1C Jakarta,021-5325054/5817470,,,,
Pop Corn AFIA & teh Segar,Pop Corn AFIA & Teh Segar,F&B,Franchise,"6,5-9,5jt",Jl. KH Agus Salim No.32 Lawean Solo,0271-7044839,,,,
Fastrackids,PT Bina Bakat & Potensi,Pendidikan Non Formal,Franchise,450jt,Komp Perkantoran Bukit Gading Indah Blok E/7 Kelapa Gading Jakarta,021-4515854,,,,
Planet Koko,Planet Koko,Makanan,n/a,"3,9-6jt",Pondok timur Indah Raya Jl. Al-Huda No.70 Bekasi,021-32503442,,,,
Micronics Distribution,PT Micronics Intrakom,n/a,Franchise,n/a,Golden Plaza A37-A39 Jl. RS Fatmawati 15 Jakarta,021-75900091/93,,,,
ID Webhost,CV Jogja Camp,"Jasa Website, Web Development, Web Hosting",Franchise,n/a,Jl.Perintis Kemerdekaan No.33 Jogjakarta/Jl. Mampang Prapatan Raya No.19J Jakarta,021-79184155/0274-415585,,,,
Bakmi Orange,Bakmi Orange,F&B,Kemitraan,"Rp.7,5jt",Jl. Ciasem Ujung No.4 Depok Timur,0818-06700600,,,,
Saqinah,Saqinah,Ritel Fashion,BO,Rp. 200jt,Jl.Duren Tiga Raya No.16 Jakarta,021-79176862,,,,
Saboga,PT Saboga Food Indonesia,F&B,Franchise,700jt,Jl. Batu Nunggal Indah 4 No.1-3 Bandung,022-7513206,,,,
Lacone Cafe,Lacone Cafe,Cafe,BO,n/a,Rukan Taman Pondok Kelapa A-1 Jl. Pondok Kelapa Raya Jakarta,021-86904304,,,,
Martabak VOC,Martabak VOC,F&B,BO,50jt,Jl. Abdul Majin No.24 Jakarta,021-7264415,,,,
Teh que dan Segara Tea,CV Amanah Que,F&B,BO,4-6jt,Jl. Praja Dalam E RT12/02 No.45A kebayoran Lama Jakarta,021-97734265/021-92236165,,,,
Johnny Andrean School,Johnny Andrean School,Pendidikan,Franchise,n/a,Jl.Meruya Selatan No.66 Jakarta,021-5859545,,,,
Raja Brosur,Raja Brosur,Percetakan,BO,100jt,Jl.Pal Batu IV No.14 RT 009/10 Menteng Dalam Jakarta Selatan,021-71553266,,,,
Save Print,Save Print,Printing,BO,n/a,Jl.Abdul Muis 64 Jakarta,021-3685149,,,,
Lutuye Salon,PT Lutuye Indonesia,Salon Kecantikan,N/A,N/A,Wisma BCA 1 LT.9 Jend. Sudirman Kav 22-23 Setiabudi Jakarta,021-5712124/5712598,,,,
Soto Suroboyoan Haji Wasdi,Soto Suroboyoan Hasji Wasdi,F&B,Franchise,4jt,Jl. Lodan I No.6 Rawamangun Jakarta,021-4894661,,,,
Bakmi Raos Resto,PT Raos Aneka Pangan,F&B,Franchise,Rp. 75jt,Jl. Kodam Bintaro Permai No.9R – Pondok Betung Jakarta Selatan,021-73884908,,,,
Sun P Klin Laundry,CV Kemenang Jaya,Laundry,Franchise,65jt,JL. Gatot Subroto No.88F Medan,061-68739994,,,,
Kebab Turki Baba Rafi,PT Babarafi Indonesia,Kebab,Franchise,55-105jt,Ruko Manyar Garden Regency Kav.29-30 Jl. Nginden Semolo 109 Surabaya,031-5999975,,,,
Gathaya Performing Art Center,PT Gathaya Cahyayuda,Pendidikan,Franchise,n/a,Jl.Ciasem I No.36 Kebayoran Baru,021-7210271,,,,
Frezz Buble,Frezz Buble,F&B,Franchise,12.5-25jt,Jl. Sukabakti 2 No.2 Tangerang,021-98259308,,,,
Java Star,PT Java Star,Tour & Travel,Franchise,,Jl.Titian No.7 Lt.2 Bandung,022-2531318,Rp. 100jt - Rp. 250jt,,,
Photo n Print,Photo n Print,"Studio Box, Photo Box, Photo Kios",BO,n/a,Jl.Hi-tech Mall Lantai I/B 21 Kusuma Bangsa 116-118 Surabaya,031-5467456/031-5016088,,,,
Oenpao,Oenpao,F&B,BO,n/a,Jl. Kemang Selatan 102,021-7379452,,,,
TIKI JNE,PT Tiki Jalur Nugraha Eka Kurir,Jasa Pengiriman,Agen,n/a,Jl.Tomang Raya No.11 Jakarta,021-5665262,,,,
Softcase Laptop Icainu,Icainu,Kerajinan Usaha Aksesoris Komputer,BO,Rp. 5jt,Perumahan Barata Jl. Barata tama II No.143 Kec.Karang Tengah Kel.Ciledug Tangerang,0856-8555152/021-99552815,,,,
